sku_color;sku;old_sku;description;qty_per_box;weight;length;lbs1400;crate_size
HP770 GLBK;HP770;;HP 5DR AIR RETURN GRILL GLBK;;;;;
HP832 GLBK;HP832;;HP LOWER FRONT PANEL KICKPLATE CORNER GLBK;;;;;
HP926 TXPT;HP926;HP-FP050-8;HP FRONT PANEL 96in TXPT;;5;96;0;98
HP947;HP947;;SHELF BRACKET LH RH 3 PRONG REVERSE 18in;;;;;
HPL-SHF002 GLBK;HPL-SHF002;;SHELF LIT MD SOLID 10D X 48W STANDARD GLBK;;;;;
HPL-SHF003 GLBK;HPL-SHF003;;SHELF LIT MD SOLID 12D X 36W STANDARD GLBK;;;;;
HPL-SHF004 GLBK;HPL-SHF004;;SHELF LIT MD SOLID 12D X 48W STANDARD GLBK;;;;;
HPL-SHF005 GLBK;HPL-SHF005;;SHELF LIT MD SOLID 12D X 60W STANDARD GLBK;;;;;
HPL-SHF006 GLBK;HPL-SHF006;;SHELF LIT MD SOLID 14D X 36W STANDARD GLBK;;;;;
HPL-SHF010 GLBK;HPL-SHF010;;SHELF LIT MD SOLID 16D X 36W STANDARD GLBK;;;;;
HPL-SHF011 GLBK;HPL-SHF011;;SHELF LIT MD SOLID 16D X 48W STANDARD GLBK;;;;;
HPL-SHF012 GLBK;HPL-SHF012;;SHELF LIT MD SOLID 16D X 60W STANDARD GLBK;;;;;
HPL-SHF014 GLBK;HPL-SHF014;;SHELF LIT MD SOLID 18D X 48W STANDARD GLBK;;;;;
HPL-SHF018 GLBK;HPL-SHF018;;SHELF LIT MD SOLID 20D X 48W STANDARD GLBK;;;;;
HPL-SHF034 GLBK;HPL-SHF034;;SHELF LIT MD SOLID 10D X 60W STANDARD GLBK;;;;;
HPL-SHF068 GLBK;HPL-SHF035;;SHELF LIT MD SOLID 18D X 60W STANDARD GLBK;;;;;
HPU-SHF003 GLBK;HPU-SHF003;;SHELF UNLIT MD SOLID 12D X 36W STANDARD GLBK;;;;;
HPU-SHF004 GLBK;HPU-SHF004;;SHELF UNLIT MD SOLID 12D X 48W STANDARD GLBK;;;;;
HPU-SHF005 GLBK;HPU-SHF005;;SHELF UNLIT MD SOLID 12D X 60W STANDARD GLBK;;;;;
HPU-SHF006 GLBK;HPU-SHF006;;SHELF UNLIT MD SOLID 14D X 36W STANDARD GLBK;;;;;
HPU-SHF007 GLBK;HPU-SHF007;;SHELF UNLIT MD SOLID 14D X 48W STANDARD GLBK;;;;;
HPU-SHF010 GLBK;HPU-SHF010;;SHELF UNLIT MD SOLID 16D X 36W STANDARD GLBK;;;;;
HPU-SHF011 GLBK;HPU-SHF011;;SHELF UNLIT MD SOLID 16D X 48W STANDARD GLBK;;;;;
HPU-SHF012 GLBK;HPU-SHF012;;SHELF UNLIT MD SOLID 16D X 60W STANDARD GLBK;;;;;
HPU-SHF013 GLBK;HPU-SHF013;;SHELF UNLIT MD SOLID 18D X 36W STANDARD GLBK;;;;;
HPU-SHF014 GLBK;HPU-SHF014;;SHELF UNLIT MD SOLID 18D X 48W STANDARD GLBK;;;;;
HPU-SHF017 GLBK;HPU-SHF017;;SHELF UNLIT MD SOLID 20D X 36W STANDARD GLBK;;;;;
HPU-SHF018 GLBK;HPU-SHF018;;SHELF UNLIT MD SOLID 20D X 48W STANDARD GLBK;;;;;
HPU-SHF018 GLWH;HPU-SHF018;;SHELF UNLIT MD SOLID 20D X 48W STANDARD GLWH;;;;;
HPU-SHF019 GLBK;HPU-SHF019;;SHELF UNLIT GD SOLID 22D X 29.875W STANDARD GLBK;;;;;
HPU-SHF019 GLWH;HPU-SHF019;;SHELF UNLIT GD SOLID 22D X 29.875W STANDARD GLWH;;;;;
HPU-SHF021 GLBK;HPU-SHF021;;SHELF UNLIT MD SOLID 22D X 48W STANDARD GLBK;;;;;
HPU-SHF021-XS GLBK;HPU-SHF021-XS;;SHELF UNLIT MD SOLID 22D X 48W STD WITH XTRA SUPPORT GLBK;;;;;
HPU-SHF039 GLBK;HPU-SHF039;;SHELF UNLIT MD SOLID 26D X 48W STANDARD GLBK;;;;;
HU B3XCLEPU 12' EXT;HU B3XCLEPU 12' EXT;;HUSSMANN B3XCLEPU/B3XCLGEPU 12' EXTERIOR KIT;;;;;
HU B3XCLEPU 12' INT;HU B3XCLEPU 12' INT;;HUSSMANN B3XCLEPU/B3XCLGEPU 12' INTERIOR KIT;;;;;
HU B3XCLEPU 8' INT;HU B3XCLEPU 8' INT;;HUSSMANN B3XCLEPU/B3XCLGEPU 8' INTERIOR KIT;;;;;
HU C2LGEU 6' EXT;HU C2LGEU 6' EXT;;HUSSMANN C2LGEU 6' EXTERIOR KIT;;;;;
HU C2LGEU 6ft INT;HU C2LGEU 6ft INT;;HUSSMANN C2LGEU 6ft INTERIOR KIT;;;;;
HU C3LGEU 6' EXT;HU C3LGEU 6' EXT;;HUSSMANN C3LGEU 6' EXTERIOR KIT;;;;;
HU C3XLGEPU 6' EXT;HU C3XLGEPU 6' EXT;;HUSSMANN C3XLGEPU 6' EXTERIOR KIT;;;;;
HU C3XLGEU 6' EXT;HU C3XLGEU 6' EXT;;HUSSMANN C3XLGEU 6' EXTERIOR KIT;;;;;
HU C3XLGEU 6' INT;HU C3XLGEU 6' INT;;HUSSMANN C3XLGEU 6' INTERIOR KIT;;;;;
HU C6XLEP 6' 63.5 CV;HU C6XLEP 6' 63.5 CV;;HUSSMANN RFD C6XLEP 6' X 63.5 EXT KIT (COLORBAND VERSION);;;;;
HU CW2UGEU 138 EXT;HU CW2UGEU 138 EXT;;HUSSMANN CW2U138GEU EXTERIOR KIT;;;;;
HU CW2UGEU 138 INT;HU CW2UGEU 138 INT;;HUSSMANN CW2U138GEU INTERIOR KIT;;;;;
HU CW2UGEU 90 EXT;HU CW2UGEU 90 EXT;;HUSSMANN CW2U90GEU EXTERIOR KIT;;;;;
HU CW2UGEU 90 INT;HU CW2UGEU 90 INT;;HUSSMANN CW2U90GEU INTERIOR KIT;;;;;
HU D5XLEU 12' 58 CV;HU D5XLEU 12' 58 CV;;"HUSSMANN RFD D5XLEU 12' X 58"" EXT KIT (COLORBAND VERSION)";;;;;
HU D5XLEU 4' 58 CV;HU D5XLEU 4' 58 CV;;"HUSSMANN RFD D5XLEU 4' X 58"" EXT KIT (COLORBAND VERSION)";;;;;
HU E2V 8' EXT;HU E2V 8' EXT;;HUSSMANN E2V 8' EXTERIOR KIT;;;;;
HU ESBDHVU 8' EXT;HU ESBDHVU 8' EXT;;HUSSMANN ESBDHVU 8' EXTERIOR KIT;;;;;
HU FI 12' EXT;HU FI 12' EXT;;HUSSMANN FI 12' EXTERIOR KIT;;;;;
HU FI/FN PLENUM KIT;HU FI/FN PLENUM KIT;;HUSSMANN FI / FN/ FW  8.188Iin PLENUM KIT;;;;;
HU FN WRAP EXT 3;HU FN WRAP EXT 3;;HUSSMANN FN WRAP EXTERIOR KIT 3 (TRIPLE PANEL);;;;;
HU FW 12' INT;HU FW 12' INT;;HUSSMANN FW 12' INTERIOR KIT;;;;;
HU FW 8' INT;HU FW 8' INT;;HUSSMANN FW 8' INTERIOR KIT;;;;;
HU FW PLENUM KIT;HU FW PLENUM KIT;;HUSSMANN FW PLENUM 10.25in KIT (ALL FW/FN/FI MODELS);;;;;
HU FWE EXT 2;HU FWE EXT 2;;HUSSMANN FWE TRIPLE PANEL EXTERIOR KIT 2;;;;;
HU FWEG EXT 1;HU FWEG EXT 1;;HUSSMANN FWEG DOUBLE BUMPER END CAP EXTERIOR KIT 1;;;;;
HU FWEG INT;HU FWEG INT;;HUSSMANN FWEG INTERIOR KIT;;;;;
HU FWEGH EC EXT;HU FWEGH EC EXT;;HUSSMANN FWEGH EC DOUBLE BUMPER EXTERIOR KIT;;;;;
HU FWEGH PLENUM KIT;HU FWEGH PLENUM KIT;;HU FWEGH PLENUM DOUBLE BUMPER EXTERIOR KIT;;;;;
HU FWEU EXT 1;HU FWEU EXT 1;;HUSSMANN FWEU END CAP DOUBLE PANEL EXTERIOR KIT 1;;;;;
HU FWEU EXT 2;HU FWEU EXT 2;;HUSSMANN FWEU END CAP TRIPLE PANEL EXTERIOR KIT 2;;;;;
HU FWEU INT;HU FWEU INT;;HUSSMANN FWEU END CAP INTERIOR KIT;;;;;
HU FWG 12' EXT 1;HU FWG 12' EXT 1;;HUSSMANN FWG 12' DOUBLE BUMPER EXTERIOR KIT;;;;;
HU FWG 12' INT;HU FWG 12' INT;;HUSSMANN FWG 12' INTERIOR KIT;;;;;
HU FWG 4' EXT 1;HU FWG 4' EXT 1;;HUSSMANN FWG 4' DOUBLE BUMPER EXTERIOR KIT 1;;;;;
HU FWG 8' EXT 1;HU FWG 8' EXT 1;;HUSSMANN FWG 8' DOUBLE BUMPER EXTERIOR KIT 1;;;;;
HU FWG 8' INT;HU FWG 8' INT;;HUSSMANN FWG 8' INTERIOR KIT;;;;;
HU FWGH 12' EXT;HU FWGH 12' EXT;;HUSSMANN FWGH 12' DOUBLE BUMPER EXTERIOR KIT;;;;;
HU FWU 12' EXT 1;HU FWU 12' EXT 1;;HUSSMANN FWU 12' DOUBLE PANEL EXTERIOR KIT 1;;;;;
HU FWU 12' EXT 2;HU FWU 12' EXT 2;;HUSSMANN FWU 12' TRIPLE PANEL EXTERIOR KIT 2;;;;;
HU FWU 4' EXT 2;HU FWU 4' EXT 2;;HUSSMANN FWU 4' TRIPLE PANEL EXTERIOR KIT 2;;;;;
HU FWU 8' EXT 1;HU FWU 8' EXT 1;;HUSSMANN FWU 8' DOUBLE PANEL EXTERIOR KIT 1;;;;;
HU FWU 8' EXT 2;HU FWU 8' EXT 2;;HUSSMANN FWU 8' TRIPLE PANEL EXTERIOR KIT 2;;;;;
HU IC6SL 12ft 61.5in;HU IC6SL 12ft 61.5in;;HUSSMANN IC6SL 12ft X 61.5in CTC KIT;;;;;
HU IC6SL 8ft 61.5in;HU IC6SL 8ft 61.5in;;HUSSMANN IC6SL 8ft X 61.5in CTC KIT;;;;;
HU IC6SM 12ft 58.5in;HU IC6SM 12ft 58.5in;;HUSSMANN IC6SM 12ft X 58.5in CTC KIT;;;;;
HU IC6SM 8ft 58.5in;HU IC6SM 8ft 58.5in;;HUSSMANN IC6SM 8ft X 58.5in CTC KIT;;;;;
"HU LWU 138"" EXT 1";"HU LWU 138"" EXT 1";;"HUSSMANN LWU 138"" EXTERIOR KIT 1";;;;;
"HU LWU 138"" INT";"HU LWU 138"" INT";;"HUSSMANN LWU 138"" INTERIOR KIT";;;;;
HU LWU 8' EXT 1;HU LWU 8' EXT 1;;HUSSMANN LWU 8' EXTERIOR KIT 1;;;;;
HU M1GLE93U EXT;HU M1GLE93U EXT;;HUSSMANN M1GLE93U EXTERIOR KIT;;;;;
HU M1GLE93U INT;HU M1GLE93U INT;;HUSSMANN M1GLE93U INTERIOR KIT;;;;;
HU M5GU 12' EXT;HU M5GU 12' EXT;;HUSSMANN M5GU 12' EXTERIOR KIT;;;;;
HU M5GU 12' INT;HU M5GU 12' INT;;HUSSMANN M5GU 12' INTERIOR KIT;;;;;
HU M5GU 8' EXT;HU M5GU 8' EXT;;HUSSMANN M5GU 8' EXTERIOR KIT;;;;;
HU M5GU 8' INT;HU M5GU 8' INT;;HUSSMANN M5GU 8' INTERIOR KIT;;;;;
HU M5XGEPU 12' EXT;HU M5XGEPU 12' EXT;;HUSSMANN M5XGEPU 12' EXTERIOR KIT;;;;;
HU M5XGEPU 12' INT;HU M5XGEPU 12' INT;;HUSSMANN M5XGEPU 12' INTERIOR KIT;;;;;
HU M5XGEPU 8' EXT;HU M5XGEPU 8' EXT;;HUSSMANN M5XGEPU 8' EXTERIOR KIT;;;;;
HU M5XGEPU 8' INT;HU M5XGEPU 8' INT;;HUSSMANN M5XGEPU 8' INTERIOR KIT;;;;;
HU NEBCHU 12' EXT;HU NEBCHU 12' EXT;;HUSSMANN NEBCHU 12' EXTERIOR KIT;;;;;
HU NEBCHU 8' EXT;HU NEBCHU 8' EXT;;HUSSMANN NEBCHU 8' EXTERIOR KIT;;;;;
HU P2U 12' EXT 1;HU P2U 12' EXT 1;;HUSSMANN P2U 12' EXTERIOR KIT;;;;;
HU P2U 8' EXT 1;HU P2U 8' EXT 1;;HUSSMANN P2U 8' EXTERIOR KIT;;;;;
HU P4U 12' EXT;HU P4U 12' EXT;;HUSSMANN P4U 12' EXTERIOR KIT;;;;;
HU P4U 8' EXT;HU P4U 8' EXT;;HUSSMANN P4U 8' EXTERIOR KIT;;;;;
HU Q3SPR 12ft EXT;HU Q3SPR 12ft EXT;;HUSSMANN Q3SPR 12ft EXTERIOR KIT;;;;;
HU RGD 4ft 51.5in;HU RGD 4ft 51.5in;;HUSSMANN RGD 4ft X 51.5in CTC KIT;;;;;
HU RL 2DR EXT 1;HU RL 2DR EXT 1;;HUSSMANN RL 2DR EXTERIOR KIT 1;;;;;
HU RL 2DR INT;HU RL 2DR INT;;HUSSMANN RL 2DR INTERIOR KIT;;;;;
HU RL 3DR EXT 1;HU RL 3DR EXT 1;;HUSSMANN RL 3DR EXTERIOR KIT 1;;;;;
HU RL 4DR EXT 1;HU RL 4DR EXT 1;;HUSSMANN RL 4DR EXTERIOR KIT 1;;;;;
HU RL 5DR EXT 1;HU RL 5DR EXT 1;;HUSSMANN RL 5DR EXTERIOR KIT 1;;;;;
HU RLN 2DR EXT;HU RLN 2DR EXT;;HUSSMANN RLN 2DR EXTERIOR KIT ;;;;;
HU RLN 3DR EXT;HU RLN 3DR EXT;;HUSSMANN RLN 3DR EXTERIOR KIT ;;;;;
HU RLN 4DR EXT;HU RLN 4DR EXT;;HUSSMANN RLN 4DR EXTERIOR KIT;;;;;
HU RLN 5DR EXT;HU RLN 5DR EXT;;HUSSMANN RLN 5DR EXTERIOR KIT ;;;;;
HU SHVSRLM 8' EXT;HU SHVSRLM 8' EXT;;HUSSMANN SHVSRLM 8' EXTERIOR KIT;;;;;
HU SHVSSRLM 12' EXT;HU SHVSSRLM 12' EXT;;HUSSMANN SHVSSRLM 12' EXTERIOR KIT;;;;;
HU SHVSSRLM 4' EXT;HU SHVSSRLM 4' EXT;;HUSSMANN SHVSSRLM 4' EXTERIOR KIT;;;;;
HU SHVSSRLM 8' EXT;HU SHVSSRLM 8' EXT;;HUSSMANN SHVSSRLM 8' EXTERIOR KIT;;;;;
HU SMBT 12' EXT;HU SMBT 12' EXT;;HUSSMANN SMBT 12' EXTERIOR KIT;;;;;
HU SMBT 8' EXT;HU SMBT 8' EXT;;HUSSMANN SMBT 8' EXTERIOR KIT;;;;;
HU SMBTU 12' EXT;HU SMBTU 12' EXT;;HUSSMANN SMBTU 12' EXTERIOR KIT;;;;;
HU SMBTU 6 EXT;HU SMBTU 6 EXT;;HUSSMANN SMBTU 6' EXTERIOR KIT;;;;;
HU-BF002-3 GLBK;HU-BF002-3;;HU 3ft BACK PANEL GLBK;;;;;
HU-BF004-3 GLBK;HU-BF004-3;;HU 3ft BACK PANEL GLBK;;;;;
HU-BF005-2 GLBK;HU-BF005-2;;HU STAMPED AIR RETURN GRILL 2ft GLBK;;;;;
HU-BF005-EC1 GLBK;HU-BF005-EC1;;HU STAMPED AIR RETURN GRILL END CAP GLBK;;;;;
HU-BF006-4 GLBK;HU-BF006-4;;HU TOP DUCT 1.5H 4ft GLBK;;;;;
HU-BF007-4 GLBK;HU-BF007-4;;HU BACK PANEL 4ft GLBK;;;;;
HU-CB002-12 TXBK;HU-CB002-12;;HU COLORBAND 12ft TXBK;;;;;
HU-CB002-12 TXCG;HU-CB002-12;;HU COLORBAND 12ft TXCG;;;;;
HU-CB002-12 TXPT;HU-CB002-12;;HU COLORBAND 12ft TXPT;;;;;
HU-CB002-6 TXBK;HU-CB002-6;;HU COLORBAND 6ft TXBK;;;;;
HU-CB002-6 TXPT;HU-CB002-6;;HU COLORBAND 6ft TXPT;;;;;
HU-CB002-8 TXBK;HU-CB002-8;;HU COLORBAND 8ft TXBK;;;;;
HU-CB002-8 TXCG;HU-CB002-8;;HU COLORBAND 8ft TXCG;;;;;
HU-CB002-8 TXPT;HU-CB002-8;;HU COLORBAND 8ft TXPT;;;;;
HU-CB002-EC1LH TXPT;HU-CB002-EC1LH;;HU COLORBAND END CAP SIDE 38in LH TXPT;;;;;
HU-CB002-EC1RH TXPT;HU-CB002-EC1RH;;HU COLORBAND END CAP SIDE 38in RH TXPT;;;;;
HU-CB002-SC TXCG;HU-CB002-SC;;HU COLORBAND SEAM COVER TXCG;;;;;
HU-CB002-SC TXPT;HU-CB002-SC;;HU COLORBAND SEAM COVER TXPT;;;;;
HU-CB003-8 SS;HU-CB003-8 SS;;HU COLORBAND 5in 8ft SS;;;;;
HU-CB003-SC SS;HU-CB003-SC SS;;HU COLORBAND 5in SEAM COVER SS;;;;;
HU-CN002-12 TXBK;HU-CN002-12;;HU CANOPY 7.5H 12ft TXBK;;;;;
HU-CN002-12 TXCG;HU-CN002-12;;HU CANOPY 7.5H 12ft TXCG;;;;;
HU-CN002-12 TXPT;HU-CN002-12;;HU CANOPY 7.5H 12ft TXPT;;;;;
HU-CN002-6 TXBK;HU-CN002-6;;HU CANOPY 7.5H 6ft TXBK;;;;;
HU-CN002-8 TXBK;HU-CN002-8;;HU CANOPY 7.5H 8ft TXBK;;;;;
HU-CN002-8 TXCG;HU-CN002-8;;HU CANOPY 7.5H 8ft TXCG;;;;;
HU-CN002-8 TXPT;HU-CN002-8;;HU CANOPY 7.5H 8ft TXPT;;;;;
HU-CN002-SC TXBK;HU-CN002-SC;;HU CANOPY 7.5H SEAM COVER TXBK;;;;;
HU-CN002-SC TXCG;HU-CN002-SC;;HU CANOPY 7.5H SEAM COVER TXCG;;;;;
HU-CN002-SC TXPT;HU-CN002-SC;;HU CANOPY 7.5H SEAM COVER TXPT;;;;;
HU-CN009-2DR TXPT;HU-CN009-2DR;;HU CANOPY L-SHAPE 2H 2DR TXPT;;;;;
HU-CN009-3DR TXPT;HU-CN009-3DR;HU009;HU CANOPY L-SHAPE 2H 3DR TXPT;;3.1;90;0;98
HU-CN009-4DR TXPT;HU-CN009-4DR;;HU CANOPY L-SHAPE 2H 4DR TXPT;;;;;
HU-CN009-5DR TXPT;HU-CN009-5DR;HU013;HU CANOPY L-SHAPE 2H 5DR TXPT;;5.2;154;0;156
HU-CN009-SC TXPT;HU-CN009-SC;HU192;HU CANOPY L-SHAPE 2H SEAM COVER TXPT;;0.1;24;0;PETITE
HU-CN015-12 TXPT;HU-CN015-12;;HU CANOPY 2.25H 12ft TXPT;;;;;
HU-CN015-4 TXPT;HU-CN015-4;;HU CANOPY 2.25H 4ft TXPT;;;;;
HU-CN015-8 TXPT;HU-CN015-8;;HU CANOPY 2.25H 8ft TXPT;;;;;
HU-CN015-SC TXPT;HU-CN015-SC;;HU CANOPY 2.25H SEAM COVER TXPT;;;;;
HU-CN028-12 TXPT;HU-CN028-12;;HU FLAT CANOPY 7H 12ft TXPT;;;;;
HU-CN028-8 TXPT;HU-CN028-8;;HU FLAT CANOPY 7H 8ft TXPT;;;;;
HU-CN028-CRN TXPT;HU-CN028-CRN;;HU FLAT CANOPY 7H CORNER TXPT;;;;;
HU-CN028-SC TXPT;HU-CN028-SC;;HU FLAT CANOPY 7H SEAM COVER TXPT;;;;;
HU-FP002-12 GLBK;HU-FP002-12;;HU FRONT PANEL 11H 12ft GLBK;;;;;
HU-FP002-12 TXBK;HU-FP002-12;;HU FRONT PANEL 11H 12ft TXBK;;;;;
HU-FP002-12 TXPT;HU-FP002-12;;HU FRONT PANEL 11H 12ft TXPT;;;;;
HU-FP002-6 TXPT;HU-FP002-6;;HU FRONT PANEL 11H 6ft TXPT;;;;;
HU-FP002-8 TXBK;HU-FP002-8;;HU FRONT PANEL 11H 8ft TXBK;;;;;
HU-FP002-8 TXPT;HU-FP002-8;;HU FRONT PANEL 11H 8ft TXPT;;;;;
HU-FP002-SC TXBK;HU-FP002-SC;;HU FRONT PANEL 11H SEAM COVER TXBK;;;;;
HU-FP002-SC TXPT;HU-FP002-SC;;HU FRONT PANEL 11H SEAM COVER TXPT;;;;;
HU-FP003-12 TXBK;HU-FP003-12;;HU FRONT PANEL 4.5H 12ft TXBK;;;;;
HU-FP003-12 TXCG;HU-FP003-12;;HU FRONT PANEL 4.5H 12ft TXCG;;;;;
HU-FP003-12 TXPT;HU-FP003-12;;HU FRONT PANEL 4.5H 12ft TXPT;;;;;
HU-FP003-6 TXBK;HU-FP003-6;;HU FRONT PANEL 4.5H 6ft TXBK;;;;;
HU-FP003-6 TXPT;HU-FP003-6;;HU FRONT PANEL 4.5H 6ft TXPT;;;;;
HU-FP003-8 TXBK;HU-FP003-8;;HU FRONT PANEL 4.5H 8ft TXBK;;;;;
HU-FP003-8 TXCG;HU-FP003-8;;HU FRONT PANEL 4.5H 8ft TXCG;;;;;
HU-FP003-8 TXPT;HU-FP003-8;;HU FRONT PANEL 4.5H 8ft TXPT;;;;;
HU-FP003-EC1LH TXPT;HU-FP003-EC1LH;;HU FRONT PANEL 4.5H END CAP SIDE 38in LH TXPT;;;;;
HU-FP003-EC1RH TXPT;HU-FP003-EC1RH;;HU FRONT PANEL 4.5H END CAP SIDE 38in RH TXPT;;;;;
HU-FP003-SC TXBK;HU-FP003-SC;;HU FRONT PANEL 4.5H SEAM COVER TXBK;;;;;
HU-FP003-SC TXCG;HU-FP003-SC;;HU FRONT PANEL 4.5H SEAM COVER TXCG;;;;;
HU-FP003-SC TXPT;HU-FP003-SC;;HU FRONT PANEL 4.5H SEAM COVER TXPT;;;;;
HU-FP024-8 TXPT;HU-FP024-8;;HU FRONT PANEL 10.25H 8ft TXPT;;;;;
HU-FP024-SC TXPT;HU-FP024-SC;;HU FRONT PANEL 10.25H SEAM COVER TXPT;;;;;
HU-FP026-12 TXBK;HU-FP026-12;;HU LOWER FRONT PANEL 20H 12ft TXBK;;;;;
HU-FP026-12 TXCG;HU-FP026-12;;HU LOWER FRONT PANEL 20H 12ft TXCG;;;;;
HU-FP026-12 TXPT;HU-FP026-12;;HU LOWER FRONT PANEL 20H 12ft TXPT;;;;;
HU-FP026-8 TXPT;HU-FP026-8;;HU LOWER FRONT PANEL 20H 8ft TXPT;;;;;
HU-FP026-EC1 TXPT;HU-FP026-EC1;;HU LOWER FRONT PANEL 20H END CAP 73.750in TXPT;;;;;
HU-FP026-EC2 TXCG;HU-FP026-EC2;;HU LOWER FRONT PANEL 20H END CAP 51in TXCG;;;;;
HU-FP026-EC3L TXPT;HU-FP026-EC3L;;HU LOWER FRONT PANEL 20H END CAP SIDE LH TXPT;;;;;
HU-FP026-EC3R TXPT;HU-FP026-EC3R;;HU LOWER FRONT PANEL 20H END CAP SIDE RH TXPT;;;;;
HU-FP026-SC TXPT;HU-FP026-SC;;HU LOWER FRONT PANEL 20H SEAM COVER TXPT;;;;;
HU-FP033-12 TXBK;HU-FP033-12;;HU LOWER FRONT PANEL 7.5H 12ft TXBK;;;;;
HU-FP033-12 TXCG;HU-FP033-12;;HU LOWER FRONT PANEL 7.5H 12ft TXCG;;;;;
HU-FP033-12 TXPT;HU-FP033-12;;HU LOWER FRONT PANEL 144in TXPT;;;;;
HU-FP033-6 TXPT;HU-FP033-6;;HU LOWER FRONT PANEL 7.5H 6ft TXPT;;;;;
HU-FP033-8 TXBK;HU-FP033-8;;HU LOWER FRONT PANEL 7.5H 8ft TXBK;;;;;
HU-FP033-8 TXCG;HU-FP033-8;;HU LOWER FRONT PANEL 7.5H 8ft TXCG;;;;;
HU-FP033-8 TXPT;HU-FP033-8;;HU LOWER FRONT PANEL 7.5H 8ft TXPT;;;;;
HU-FP033-SC TXBK;HU-FP033-SC;;HU LOWER FRONT PANEL 7.5H SEAM COVER TXBK;;;;;
HU-FP033-SC TXPT;HU-FP033-SC;;HU LOWER FRONT PANEL 7.5H SEAM COVER TXPT;;;;;
HU-FP034-12 TXCG;HU-FP034-12;;HU LOWER FRONT PANEL 4.1875H 12ft TXCG;;;;;
HU-FP034-12 TXPT;HU-FP034-12;;HU LOWER FRONT PANEL 4.1875H 12ft TXPT;;;;;
HU-FP034-6 TXPT;HU-FP034-6;;HU LOWER FRONT PANEL 4.1875H 6ft TXPT;;;;;
HU-FP034-8 TXCG;HU-FP034-8;;HU LOWER FRONT PANEL 4.1875H 8ft TXCG;;;;;
HU-FP034-8 TXPT;HU-FP034-8;;HU LOWER FRONT PANEL 4.1875H 8ft TXPT;;;;;
HU-FP034-CRN GLBK;HU-FP034-CRN;;HU LOWER FRONT PANEL 4.1875H CORNER GLBK;;;;;
HU-FP034-EC1 TXPT;HU-FP034-EC1;;HU LOWER FRONT PANEL 4.1875H END CAP 31.5in TXPT;;;;;
HU-FP034-EC2 TXPT;HU-FP034-EC2;;HU EC LOWER FRONT PANEL 68.375in TXPT;;;;;
HU-FP034-SC TXCG;HU-FP034-SC;;HU LOWER FRONT PANEL 4.1875H SEAM COVER TXCG;;;;;
HU-FP034-SC TXPT;HU-FP034-SC;;HU LOWER FRONT PANEL 4.1875H SEAM COVER TXPT;;;;;
HU-FP037-12 TXCG;HU-FP037-12;;HU LOWER FRONT PANEL 11.5H 12ft TXCG;;;;;
HU-FP037-8 TXCG;HU-FP037-8;;HU LOWER FRONT PANEL 11.5H 8ft TXCG;;;;;
HU-FP044-12 GLBK;HU-FP044-12;;HU LOWER FRONT PANEL 2.8125H 12ft GLBK;;;;;
HU-FP044-12 TXPT;HU-FP044-12;;HU LOWER FRONT PANEL 2.8125H 12ft TXPT;;;;;
HU-FP044-8 GLBK;HU-FP044-8;;HU LOWER FRONT PANEL 2.8125H 8ft GLBK;;;;;
HU-FP044-8 TXPT;HU-FP044-8;;HU LOWER FRONT PANEL 2.8125H 8ft TXPT;;;;;
HU-FP044-SC GLBK;HU-FP044-SC;;HU LOWER FRONT PANEL 2.8125H SEAM COVER GLBK;;;;;
HU-FP044-SC TXPT;HU-FP044-SC;;HU LOWER FRONT PANEL 2.8125H SEAM COVER TXPT;;;;;
HU-FP052-12 TXPT;HU-FP052-12;;HU UPPER FRONT PANEL 6.375H 12ft TXPT;;;;;
HU-FP052-4 TXPT;HU-FP052-4;;HU UPPER FRONT PANEL 6.375H 4ft TXPT;;;;;
HU-FP052-8 TXPT;HU-FP052-8;;HU UPPER FRONT PANEL 6.375H 8ft TXPT;;;;;
HU-FP052-SC TXPT;HU-FP052-SC;;HU UPPER FRONT PANEL 6.375H SEAM COVER TXPT;;;;;
HU-FP053-12 TXPT;HU-FP053-12;;HU LOWER FRONT PANEL 6.25H 12ft TXPT;;;;;
HU-FP053-4 TXPT;HU-FP053-4;;HU LOWER FRONT PANEL 6.25H 4ft TXPT;;;;;
HU-FP053-8 TXPT;HU-FP053-8;;HU LOWER FRONT PANEL 6.25H 8ft TXPT;;;;;
HU-FP053-SC TXPT;HU-FP053-SC;;HU LOWER FRONT PANEL 6.25H SEAM COVER TXPT;;;;;
HU-FP054-2DR TXPT;HU-FP054-2DR;;HU FRONT PANEL 5H 2DR TXPT;;;;;
HU-FP054-2DRE TXPT;HU-FP054-2DRE;;HU FRONT PANEL 5H 2DR WITH ELECTRIC ACCESS TXPT;;;;;
HU-FP054-3DR TXPT;HU-FP054-3DR;HU1445;HU FRONT PANEL 5H 3DR TXPT;;6;90;0;98
HU-FP054-3DRE TXPT;HU-FP054-3DRE;HU122;HU FRONT PANEL 5H 3DR WITH ELECTRIC ACCESS TXPT;;5;90;0;98
HU-FP054-4DR TXPT;HU-FP054-4DR;;HU FRONT PANEL 5H 4DR TXPT;;;;;
HU-FP054-4DRE TXPT;HU-FP054-4DRE;;HU FRONT PANEL 5H 4DR WITH ELECTRIC ACCESS TXPT;;;;;
HU-FP054-5DR TXPT;HU-FP054-5DR;;HU FRONT PANEL 5H 5DR TXPT;;;;;
